rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
1,wii sports,wii,2006.0,sports,nintendo,41.49,29.02,3.77,8.46,82.74
2,super mario bros.,nes,1985.0,platform,nintendo,29.08,3.58,6.81,0.77,40.24
3,mario kart wii,wii,2008.0,racing,nintendo,15.85,12.88,3.79,3.31,35.82
4,wii sports resort,wii,2009.0,sports,nintendo,15.75,11.01,3.28,2.96,33.0
5,pokemon red/pokemon blue,gb,1996.0,role-playing,nintendo,11.27,8.89,10.22,1.0,31.37
6,tetris,gb,1989.0,puzzle,nintendo,23.2,2.26,4.22,0.58,30.26
7,new super mario bros.,ds,2006.0,platform,nintendo,11.38,9.23,6.5,2.9,30.01
8,wii play,wii,2006.0,misc,nintendo,14.03,9.2,2.93,2.85,29.02
9,new super mario bros. wii,wii,2009.0,platform,nintendo,14.59,7.06,4.7,2.26,28.62
10,duck hunt,nes,1984.0,shooter,nintendo,26.93,0.63,0.28,0.47,28.31
11,nintendogs,ds,2005.0,simulation,nintendo,9.07,11.0,1.93,2.75,24.76
12,mario kart ds,ds,2005.0,racing,nintendo,9.81,7.57,4.13,1.92,23.42
13,pokemon gold/pokemon silver,gb,1999.0,role-playing,nintendo,9.0,6.18,7.2,0.71,23.1
14,wii fit,wii,2007.0,sports,nintendo,8.94,8.03,3.6,2.15,22.72
15,wii fit plus,wii,2009.0,sports,nintendo,9.09,8.59,2.53,1.79,22.0
16,kinect adventures!,x360,2010.0,misc,microsoft game studios,14.97,4.94,0.24,1.67,21.82
17,grand theft auto v,ps3,2013.0,action,take-two interactive,7.01,9.27,0.97,4.14,21.4
18,grand theft auto: san andreas,ps2,2004.0,action,take-two interactive,9.43,0.4,0.41,10.57,20.81
19,super mario world,snes,1990.0,platform,nintendo,12.78,3.75,3.54,0.55,20.61
20,brain age: train your brain in minutes a day,ds,2005.0,misc,nintendo,4.75,9.26,4.16,2.05,20.22
21,pokemon diamond/pokemon pearl,ds,2006.0,role-playing,nintendo,6.42,4.52,6.04,1.37,18.36
22,super mario land,gb,1989.0,platform,nintendo,10.83,2.71,4.18,0.42,18.14
23,super mario bros. 3,nes,1988.0,platform,nintendo,9.54,3.44,3.84,0.46,17.28
24,grand theft auto v,x360,2013.0,action,take-two interactive,9.63,5.31,0.06,1.38,16.38
25,grand theft auto: vice city,ps2,2002.0,action,take-two interactive,8.41,5.49,0.47,1.78,16.15
26,pokemon ruby/pokemon sapphire,gba,2002.0,role-playing,nintendo,6.06,3.9,5.38,0.5,15.85
27,pokemon black/pokemon white,ds,2010.0,role-playing,nintendo,5.57,3.28,5.65,0.82,15.32
28,brain age 2: more training in minutes a day,ds,2005.0,puzzle,nintendo,3.44,5.36,5.32,1.18,15.3
29,gran turismo 3: a-spec,ps2,2001.0,racing,sony computer entertainment,6.85,5.09,1.87,1.16,14.98
30,call of duty: modern warfare 3,x360,2011.0,shooter,activision,9.03,4.28,0.13,1.32,14.76
